loss,accuracy,epoch
3.314476490020752,0.03846153989434242,1
4.072134017944336,0.19230769574642181,2
4.663010120391846,0.19230769574642181,3
2.8750123977661133,0.42307692766189575,4
2.3288235664367676,0.5384615659713745,5
1.7318060398101807,0.6153846383094788,6
1.522784948348999,0.6538461446762085,7
1.0107510089874268,0.692307710647583,8
0.727124810218811,0.7692307829856873,9
0.5783970355987549,0.807692289352417,10
0.5578932166099548,0.8846153616905212,11
0.5345064401626587,0.8461538553237915,12
0.5155828595161438,0.8461538553237915,13
0.4628967046737671,0.8846153616905212,14
0.33264192938804626,0.8846153616905212,15
0.24698258936405182,0.9230769276618958,16
0.20905105769634247,0.9230769276618958,17
0.1724342554807663,0.9615384340286255,18
0.11499429494142532,0.9615384340286255,19
0.07613039016723633,0.9615384340286255,20
