model,learning_rate,mean_final_loss,std_final_loss,mean_final_acc,std_final_acc,mean_val_loss,std_val_loss,mean_val_acc,std_val_acc,mean_epochs
mlp,0.2,0.07256898432970046,0.013964251721252105,0.9769230604171752,0.02106626727949491,1.471726417541504,0.529202141007781,0.5333333432674408,0.14487116963946756,20.0
mlp,2.0,2.366682529449463,0.13910464485104582,0.2538461655378342,0.03440105042122883,41.92026245594025,59.147066148958395,0.2888888970017433,0.25579699545977297,300.0
mlp,5.0,2.64820876121521,0.20403022273170804,0.18461539149284362,0.050147714105982615,10.267155647277832,14.717616380459301,0.24444445073604584,0.14487116906803385,300.0
mlp,10.0,2.7173885822296144,0.5045038929825424,0.16923077329993247,0.12343697568784083,2.712450551986694,0.6725520758217141,0.20000000596046447,0.29814240588530777,300.0
perceptron,0.2,0.4579211831092834,0.013383513709423402,1.0,0.0,1.0391995906829834,0.08168202049887566,0.8888888955116272,0.07856741544885544,200.0
perceptron,2.0,0.09930691570043564,0.000409984460533679,1.0,0.0,0.5310593783855438,0.06678016347989682,0.9111111164093018,0.09296221962947243,75.4
perceptron,5.0,0.0983628436923027,0.0009009966744817197,1.0,0.0,0.5259474635124206,0.06483934439834228,0.9111111164093018,0.09296221962947243,29.0
perceptron,10.0,0.06250768378376961,0.017962299036909636,1.0,0.0,0.38772003054618837,0.0628882418737198,0.8888888955116272,0.07856741544885544,16.2
