loss,accuracy,epoch
3.46036696434021,0.11538461595773697,1
3.388847589492798,0.11538461595773697,2
3.321693181991577,0.11538461595773697,3
3.258326292037964,0.11538461595773697,4
3.198268413543701,0.11538461595773697,5
3.141116142272949,0.11538461595773697,6
3.08652925491333,0.1538461595773697,7
3.03421688079834,0.1538461595773697,8
2.983931303024292,0.1538461595773697,9
2.9354588985443115,0.1538461595773697,10
2.8886163234710693,0.23076923191547394,11
2.8432462215423584,0.23076923191547394,12
2.7992122173309326,0.26923078298568726,13
2.756397008895874,0.26923078298568726,14
2.7146987915039062,0.3076923191547394,15
2.674030303955078,0.3076923191547394,16
2.6343154907226562,0.3461538553237915,17
2.5954885482788086,0.38461539149284363,18
2.557492733001709,0.4615384638309479,19
2.5202791690826416,0.5,20
2.48380446434021,0.5769230723381042,21
2.4480319023132324,0.6153846383094788,22
2.4129292964935303,0.6538461446762085,23
2.3784685134887695,0.7307692170143127,24
2.344625234603882,0.7307692170143127,25
2.311378240585327,0.7307692170143127,26
2.2787082195281982,0.7307692170143127,27
2.2465991973876953,0.7692307829856873,28
2.215035915374756,0.807692289352417,29
2.1840057373046875,0.807692289352417,30
2.153496742248535,0.8461538553237915,31
2.1234984397888184,0.8461538553237915,32
2.094000816345215,0.8461538553237915,33
2.064995288848877,0.8461538553237915,34
2.036473512649536,0.8461538553237915,35
2.008427619934082,0.8461538553237915,36
1.9808506965637207,0.8461538553237915,37
1.9537352323532104,0.8461538553237915,38
1.9270750284194946,0.8461538553237915,39
1.9008631706237793,0.9230769276618958,40
1.875093936920166,0.9230769276618958,41
1.84976065158844,0.9230769276618958,42
1.8248575925827026,0.9230769276618958,43
1.8003787994384766,0.9615384340286255,44
1.7763184309005737,1.0,45
1.7526702880859375,1.0,46
1.729428768157959,1.0,47
1.7065879106521606,1.0,48
1.6841422319412231,1.0,49
1.6620854139328003,1.0,50
1.640412449836731,1.0,51
1.619117021560669,1.0,52
1.5981929302215576,1.0,53
1.5776352882385254,1.0,54
1.5574376583099365,1.0,55
1.5375945568084717,1.0,56
1.5181005001068115,1.0,57
1.4989490509033203,1.0,58
1.4801350831985474,1.0,59
1.4616527557373047,1.0,60
1.443496584892273,1.0,61
1.4256603717803955,1.0,62
1.4081389904022217,1.0,63
1.3909265995025635,1.0,64
1.3740181922912598,1.0,65
1.3574074506759644,1.0,66
1.3410898447036743,1.0,67
1.325059413909912,1.0,68
1.309311032295227,1.0,69
1.2938393354415894,1.0,70
1.278639316558838,1.0,71
1.2637056112289429,1.0,72
1.2490330934524536,1.0,73
1.2346171140670776,1.0,74
1.2204523086547852,1.0,75
1.2065341472625732,1.0,76
1.1928575038909912,1.0,77
1.1794178485870361,1.0,78
1.1662105321884155,1.0,79
1.153230905532837,1.0,80
1.140474557876587,1.0,81
1.1279367208480835,1.0,82
1.115613579750061,1.0,83
1.103500485420227,1.0,84
1.0915930271148682,1.0,85
1.0798876285552979,1.0,86
1.0683796405792236,1.0,87
1.057065725326538,1.0,88
1.0459413528442383,1.0,89
1.0350033044815063,1.0,90
1.0242472887039185,1.0,91
1.0136698484420776,1.0,92
1.0032671689987183,1.0,93
0.9930362701416016,1.0,94
0.9829730987548828,1.0,95
0.9730744957923889,1.0,96
0.9633371829986572,1.0,97
0.9537578225135803,1.0,98
0.9443331956863403,1.0,99
0.9350602626800537,1.0,100
0.9259360432624817,1.0,101
0.9169573187828064,1.0,102
0.9081214070320129,1.0,103
0.899425208568573,1.0,104
0.8908660411834717,1.0,105
0.8824412226676941,1.0,106
0.8741480112075806,1.0,107
0.8659837245941162,1.0,108
0.8579458594322205,1.0,109
0.8500320911407471,1.0,110
0.842239499092102,1.0,111
0.8345661759376526,1.0,112
0.8270094394683838,1.0,113
0.819567084312439,1.0,114
0.8122370839118958,1.0,115
0.805016815662384,1.0,116
0.7979046702384949,1.0,117
0.7908980846405029,1.0,118
0.7839950919151306,1.0,119
0.7771939635276794,1.0,120
0.770492434501648,1.0,121
0.7638887166976929,1.0,122
0.757381021976471,1.0,123
0.750967264175415,1.0,124
0.7446457147598267,1.0,125
0.7384148836135864,1.0,126
0.7322728633880615,1.0,127
0.7262179851531982,1.0,128
0.7202485203742981,1.0,129
0.7143630981445312,1.0,130
0.7085599303245544,1.0,131
0.7028375864028931,1.0,132
0.697194516658783,1.0,133
0.6916292905807495,1.0,134
0.6861405968666077,1.0,135
0.6807267069816589,1.0,136
0.6753864884376526,1.0,137
0.6701186895370483,1.0,138
0.6649217009544373,1.0,139
0.6597944498062134,1.0,140
0.6547356247901917,1.0,141
0.6497440338134766,1.0,142
0.6448184251785278,1.0,143
0.6399576663970947,1.0,144
0.635160505771637,1.0,145
0.6304258704185486,1.0,146
0.6257527470588684,1.0,147
0.6211400628089905,1.0,148
0.616586446762085,1.0,149
0.6120913028717041,1.0,150
0.6076533198356628,1.0,151
0.6032717227935791,1.0,152
0.5989452004432678,1.0,153
0.594673216342926,1.0,154
0.5904545783996582,1.0,155
0.5862885117530823,1.0,156
0.5821739435195923,1.0,157
0.5781100988388062,1.0,158
0.5740962624549866,1.0,159
0.5701314210891724,1.0,160
0.566214919090271,1.0,161
0.5623456239700317,1.0,162
0.5585231781005859,1.0,163
0.5547465085983276,1.0,164
0.5510149598121643,1.0,165
0.5473277568817139,1.0,166
0.5436843037605286,1.0,167
0.5400837063789368,1.0,168
0.536525309085846,1.0,169
0.5330085754394531,1.0,170
0.5295327305793762,1.0,171
0.5260969996452332,1.0,172
0.5227010250091553,1.0,173
0.5193439722061157,1.0,174
0.5160252451896667,1.0,175
0.5127443075180054,1.0,176
0.5095004439353943,1.0,177
0.5062932372093201,1.0,178
0.5031219720840454,1.0,179
0.4999862313270569,1.0,180
0.4968852698802948,1.0,181
0.4938187599182129,1.0,182
0.4907861053943634,1.0,183
0.4877866506576538,1.0,184
0.48482009768486023,1.0,185
0.4818858504295349,1.0,186
0.47898340225219727,1.0,187
0.4761122465133667,1.0,188
0.4732719957828522,1.0,189
0.4704621434211731,1.0,190
0.4676823616027832,1.0,191
0.4649319648742676,1.0,192
0.46221065521240234,1.0,193
0.4595180153846741,1.0,194
0.45685359835624695,1.0,195
0.45421701669692993,1.0,196
0.4516078531742096,1.0,197
0.4490256607532501,1.0,198
0.44647011160850525,1.0,199
0.44394081830978394,1.0,200
