loss,accuracy
3.3202731609344482,0.03846153989434242
3.070916175842285,0.11538461595773697
2.859626293182373,0.26923078298568726
2.6609606742858887,0.42307692766189575
2.462642192840576,0.5769230723381042
2.261716842651367,0.6153846383094788
2.062911033630371,0.692307710647583
1.864123821258545,0.807692289352417
1.6667134761810303,0.8846153616905212
1.4754698276519775,0.9230769276618958
1.294816255569458,0.9230769276618958
1.1269770860671997,0.9615384340286255
0.9728501439094543,1.0
0.8333486318588257,1.0
0.7100829482078552,1.0
0.6030507683753967,1.0
0.5132390260696411,1.0
0.43755847215652466,1.0
0.3728470504283905,1.0
0.3172350525856018,1.0
0.26960670948028564,1.0
0.2286335527896881,1.0
0.1936347782611847,1.0
0.16422758996486664,1.0
0.13977135717868805,1.0
0.11942405253648758,1.0
0.10226791352033615,1.0
0.08783592283725739,1.0
0.07573754340410233,1.0
0.0654512569308281,1.0
0.056798338890075684,1.0
0.04949292913079262,1.0
0.04327825829386711,1.0
0.03798043727874756,1.0
0.03347720950841904,1.0
0.029675576835870743,1.0
0.02645324356853962,1.0
0.02370072342455387,1.0
0.021337945014238358,1.0
0.019303925335407257,1.0
0.017555776983499527,1.0
0.016051560640335083,1.0
0.014751085080206394,1.0
0.01361563615500927,1.0
0.012615663930773735,1.0
0.011732890270650387,1.0
0.01095268502831459,1.0
0.010264729149639606,1.0
0.009656094945967197,1.0
0.009112999774515629,1.0
0.008628645911812782,1.0
0.008193942718207836,1.0
0.00780180050060153,1.0
0.007447332609444857,1.0
0.007126512471586466,1.0
0.006834718864411116,1.0
0.006568019278347492,1.0
0.006323613692075014,1.0
0.006098762154579163,1.0
0.0058918180875480175,1.0
0.005703108385205269,1.0
0.005528505425900221,1.0
0.005366348195821047,1.0
0.005215444602072239,1.0
0.005075172521173954,1.0
0.004944801330566406,1.0
0.004822961054742336,1.0
0.004708996042609215,1.0
0.004601633176207542,1.0
0.004500622861087322,1.0
0.004405011422932148,1.0
0.004314621910452843,1.0
0.004228723235428333,1.0
0.004147262778133154,1.0
0.004069716203957796,1.0
0.0039957440458238125,1.0
0.003924907185137272,1.0
0.003857258940115571,1.0
0.0037922596093267202,1.0
0.003730024676769972,1.0
0.0036702414508908987,1.0
0.003612825181335211,1.0
0.003557473188266158,1.0
0.0035041777882725,1.0
0.0034525124356150627,1.0
0.0034023600164800882,1.0
0.003353692125529051,1.0
0.003306039609014988,1.0
0.0032594911754131317,1.0
0.003214233787730336,1.0
0.0031699107494205236,1.0
0.003126409137621522,1.0
0.0030837589874863625,1.0
0.0030424422584474087,1.0
0.003002130426466465,1.0
0.002962552011013031,1.0
0.0029237898997962475,1.0
0.0028861849568784237,1.0
0.0028495443984866142,1.0
0.002813700120896101,1.0
0.002778957597911358,1.0
0.002744897734373808,1.0
0.0027115829288959503,1.0
0.0026790453121066093,1.0
